DS43_PL1,,DS43_PLE_490,,DS43_PLE_500,,DS43_PLE_510,,DS43_PLE_520,,DS43_PLE_530,
533.4299927,25.31775093,423.5299988,14.49156761,423.5299988,72.76763916,423.5299988,211.9127655,423.5299988,99.6781311,423.5299988,28.71142006
534.0200195,23.20681763,424,14.51242924,424,72.96674347,424,211.1016693,424,100.1680679,424,28.65596581
534.4699707,22.16422462,424.4599915,14.41256428,424.4599915,72.7990036,424.4599915,209.9705658,424.4599915,99.96359253,424.4599915,28.26305771
535.0700073,20.85354042,425.0700073,14.26385307,425.0700073,72.71064758,425.0700073,209.7508087,425.0700073,99.27035522,425.0700073,28.53713799
535.5200195,19.0450592,425.5299988,14.29886627,425.5299988,71.9537735,425.5299988,209.3295746,425.5299988,98.9535141,425.5299988,28.05278206
535.9699707,18.24530602,426,14.28723335,426,71.58662415,426,208.4577942,426,98.97953033,426,28.4201088
536.5599976,17.43350601,426.4599915,14.26704597,426.4599915,71.72219086,426.4599915,207.8338928,426.4599915,98.29484558,426.4599915,28.06345177
537.0100098,16.26684761,427.0700073,14.27788925,427.0700073,71.48387909,427.0700073,206.9869843,427.0700073,98.39165497,427.0700073,28.20731926
537.460022,15.37657738,427.5299988,14.13786221,427.5299988,70.48642731,427.5299988,206.0971985,427.5299988,97.70343018,427.5299988,27.60435104
538.0499878,14.45609665,428,14.11001301,428,70.46652985,428,204.4429932,428,96.78999329,428,27.79907799
538.5,13.75800991,428.4599915,14.122756,428.4599915,70.56184387,428.4599915,205.3494873,428.4599915,96.82189941,428.4599915,27.69678497
538.9500122,13.15789509,429.0700073,13.8706398,429.0700073,70.25656891,429.0700073,202.5477142,429.0700073,96.14115906,429.0700073,27.54603577
539.5499878,11.4639082,429.5299988,14.08063698,429.5299988,69.47607422,429.5299988,201.76651,429.5299988,96.62873077,429.5299988,27.37103081
540,11.58885479,430,13.11561298,430,69.69705963,430,201.5519257,430,95.76631927,430,27.1885643
540.4400024,10.66517544,430.4500122,13.78620434,430.4500122,69.22944641,430.4500122,202.1163788,430.4500122,94.85267639,430.4500122,27.27312851
541.0200195,10.0531559,431.0599976,13.69017696,431.0599976,69.4670105,431.0599976,200.7573853,431.0599976,95.45284271,431.0599976,27.05365562
541.4699707,9.373797417,431.5100098,13.46091557,431.5100098,68.88355255,431.5100098,198.5915985,431.5100098,94.16098022,431.5100098,27.06226158
542.0499878,8.661417007,431.9599915,13.55149555,431.9599915,69.31891632,431.9599915,198.3960114,431.9599915,94.10244751,431.9599915,27.13479614
542.5,8.510507584,432.5700073,13.67893696,432.5700073,68.76770782,432.5700073,198.7569122,432.5700073,94.09907532,432.5700073,26.83995819
542.9400024,7.715396404,433.0299988,13.27211189,433.0299988,68.31105804,433.0299988,197.7988892,433.0299988,93.71609497,433.0299988,26.57656479
543.5200195,7.270330429,433.480011,13.63622761,433.480011,67.80979919,433.480011,197.2328339,433.480011,92.99699402,433.480011,26.58101463
543.9699707,6.898102283,433.9299927,13.35751152,433.9299927,67.79885864,433.9299927,195.8319397,433.9299927,94.50978851,433.9299927,26.61021423
544.5499878,6.608613014,434.5400085,13.42653179,434.5400085,67.72512054,434.5400085,196.256073,434.5400085,93.36606598,434.5400085,26.64631081
545,6.100640297,435,13.40019417,435,67.39990234,435,195.2903748,435,93.16564178,435,26.62009811
545.4400024,6.049358845,435.4500122,13.53623486,435.4500122,66.68325043,435.4500122,195.8820343,435.4500122,92.56998444,435.4500122,26.08882904
546.0200195,5.348654747,436.0599976,13.38266468,436.0599976,66.69303131,436.0599976,194.7313538,436.0599976,92.1757431,436.0599976,26.30784988
546.4699707,5.370795727,436.5100098,13.36885071,436.5100098,66.14440155,436.5100098,194.765686,436.5100098,91.64652252,436.5100098,26.1554985
547.0499878,4.907752514,436.9599915,12.99200916,436.9599915,66.56935883,436.9599915,192.8994751,436.9599915,91.34873199,436.9599915,26.35968971
547.5,4.662844181,437.5700073,13.30014038,437.5700073,66.12119293,437.5700073,192.6972046,437.5700073,91.76607513,437.5700073,26.07279587
547.9400024,4.304326534,438.0299988,13.0525465,438.0299988,65.71547699,438.0299988,192.1629944,438.0299988,90.56613159,438.0299988,26.1898365
548.5200195,4.075479507,438.480011,13.20780087,438.480011,66.05377197,438.480011,191.4234009,438.480011,90.85651398,438.480011,25.81404305
548.9699707,3.788468361,438.9299927,12.83617115,438.9299927,66.38204193,438.9299927,191.0771027,438.9299927,90.30532074,438.9299927,25.9172554
549.5499878,3.656064987,439.5400085,13.45990276,439.5400085,65.6151123,439.5400085,190.5675812,439.5400085,89.17189789,439.5400085,25.53233337
550,3.53335619,440,13.06538582,440,64.67930603,440,190.416626,440,91.22387695,440,25.75554657
550.4400024,3.152522087,440.4500122,13.03568459,440.4500122,66.11103058,440.4500122,190.8078613,440.4500122,90.31993866,440.4500122,26.03009033
551.039978,2.791494608,441.0599976,13.27356148,441.0599976,65.64970398,441.0599976,190.7263947,441.0599976,90.32117462,441.0599976,25.82663727
551.4899902,2.842928171,441.5100098,13.01352215,441.5100098,65.78347778,441.5100098,191.2029724,441.5100098,89.41181183,441.5100098,25.88604546
551.9400024,2.69577837,441.9599915,12.81242657,441.9599915,65.14434052,441.9599915,190.5627899,441.9599915,90.45170593,441.9599915,25.61508179
552.5300293,2.60387516,442.5700073,12.89737415,442.5700073,65.20068359,442.5700073,189.2251129,442.5700073,89.91539001,442.5700073,25.46428871
552.9799805,2.493485451,443.0299988,13.0601387,443.0299988,64.46509552,443.0299988,189.4237213,443.0299988,89.5471344,443.0299988,25.67507744
553.4299927,2.238314629,443.480011,12.708251,443.480011,64.35443878,443.480011,187.9771271,443.480011,89.02767944,443.480011,25.36607552
554.0200195,2.252892017,443.9299927,12.67887783,443.9299927,64.82336426,443.9299927,187.5897675,443.9299927,88.6116333,443.9299927,25.42723083
554.4699707,2.047447681,444.5400085,12.71657276,444.5400085,64.42848969,444.5400085,187.9424133,444.5400085,88.83732605,444.5400085,25.35423088
555.0700073,1.839898348,445,12.60460377,445,63.90909195,445,186.592041,445,89.17733002,445,25.38839722
555.5200195,1.729906678,445.4500122,12.74443817,445.4500122,64.17214203,445.4500122,185.5456543,445.4500122,88.83519745,445.4500122,25.50690651
555.9699707,1.614622951,446.0599976,13.02166843,446.0599976,63.88428879,446.0599976,186.3298187,446.0599976,88.73383331,446.0599976,25.42614365
556.5599976,1.553477526,446.5100098,12.76787281,446.5100098,64.22775269,446.5100098,185.8805237,446.5100098,88.57635498,446.5100098,25.27746582
557.0100098,1.607120752,446.9599915,12.82911873,446.9599915,64.70735168,446.9599915,187.0354309,446.9599915,88.66717529,446.9599915,25.36757278
557.460022,1.363766789,447.5700073,12.63033676,447.5700073,64.07641602,447.5700073,187.0769806,447.5700073,88.6051178,447.5700073,25.48389816
558.0499878,1.388557792,448.0299988,12.59701347,448.0299988,64.39454651,448.0299988,187.4238281,448.0299988,88.65409088,448.0299988,25.81609917
558.5,1.251176238,448.480011,12.66941166,448.480011,64.17222595,448.480011,187.0516815,448.480011,89.65802002,448.480011,25.77589607
558.9500122,1.296522975,448.9299927,12.47161102,448.9299927,64.27839661,448.9299927,187.3473358,448.9299927,89.09792328,448.9299927,25.14925194
559.5499878,1.195334077,449.5400085,12.78807735,449.5400085,62.85207748,449.5400085,186.191452,449.5400085,88.2052002,449.5400085,25.433218
560,1.086105108,450,12.52700615,450,64.287117,450,184.8432922,450,87.68226624,450,25.12873268
560.4400024,1.153150916,450.4500122,12.41549683,450.4500122,64.17230988,450.4500122,184.1034546,450.4500122,87.87711334,450.4500122,25.24023438
561.0200195,1.001199365,451.0599976,12.70017338,451.0599976,63.23526764,451.0599976,184.6145782,451.0599976,88.28255463,451.0599976,24.85321426
561.4699707,1.081392884,451.5100098,12.40183258,451.5100098,63.32897949,451.5100098,184.4317474,451.5100098,87.81726074,451.5100098,24.33568001
562.0499878,0.795101345,451.9599915,12.44986343,451.9599915,62.79642868,451.9599915,185.4328766,451.9599915,87.21393585,451.9599915,25.37539673
562.5,0.81220746,452.5700073,12.37617111,452.5700073,63.0148735,452.5700073,187.4276123,452.5700073,87.99038696,452.5700073,25.49867058
562.9400024,0.75283581,453.0299988,12.52605343,453.0299988,64.17373657,453.0299988,185.709198,453.0299988,87.97792816,453.0299988,24.9618721
563.5200195,0.622862101,453.480011,12.55662918,453.480011,63.81295013,453.480011,185.0050507,453.480011,88.2237854,453.480011,25.23023224
563.9699707,0.64923209,453.9299927,12.41238785,453.9299927,63.41623688,453.9299927,184.6958771,453.9299927,87.20530701,453.9299927,25.62448502
564.5499878,0.660679221,454.5400085,12.46450424,454.5400085,63.44975662,454.5400085,184.1436768,454.5400085,87.45593262,454.5400085,25.11395645
565,0.621967912,455,12.26214981,455,63.19716644,455,186.2039185,455,88.10845947,455,25.20615959
565.4400024,0.601589441,455.4500122,12.31746197,455.4500122,62.75381088,455.4500122,183.7653046,455.4500122,88.17164612,455.4500122,25.49322128
566.0200195,0.682177603,456.0599976,12.08927441,456.0599976,63.26429367,456.0599976,184.9793854,456.0599976,87.46141052,456.0599976,25.05030632
566.4699707,0.504878759,456.5100098,12.39352989,456.5100098,62.72065735,456.5100098,183.9988251,456.5100098,87.61567688,456.5100098,25.01062584
567.0499878,0.589659274,456.9599915,12.63536549,456.9599915,62.28862762,456.9599915,184.451004,456.9599915,87.30344391,456.9599915,24.98389244
567.5,0.404568493,457.5700073,12.18525791,457.5700073,63.40635681,457.5700073,183.3869781,457.5700073,87.00114441,457.5700073,24.83584023
567.9400024,0.400822192,458.0299988,12.18869019,458.0299988,62.2880249,458.0299988,182.8420258,458.0299988,85.71753693,458.0299988,24.59074211
568.5200195,0.325882167,458.480011,12.0206461,458.480011,62.5769043,458.480011,182.6972504,458.480011,86.19780731,458.480011,25.07887268
568.9699707,0.337082118,458.9299927,12.20068741,458.9299927,62.7612381,458.9299927,181.9524994,458.9299927,87.20222473,458.9299927,25.08140564
569.5499878,0.454723954,459.5400085,12.16784,459.5400085,62.5173378,459.5400085,184.7244568,459.5400085,87.89969635,459.5400085,24.9456234
570,0.394493699,460,12.283391,460,62.72376251,460,183.4961395,460,88.39859772,460,25.1776619
570.4299927,0.357489407,460.4400024,12.47574329,460.4400024,63.61206436,460.4400024,185.2447205,460.4400024,87.76271057,460.4400024,25.39495659
571.0100098,0.24707371,461.0400085,12.50432873,461.0400085,63.82738876,461.0400085,184.8511047,461.0400085,88.28445435,461.0400085,25.10607719
571.4400024,0.236362889,461.4899902,12.20742416,461.4899902,63.3174324,461.4899902,185.8711395,461.4899902,87.45896149,461.4899902,25.27239609
572.0200195,0.16284655,461.9400024,12.2881937,461.9400024,63.99357986,461.9400024,184.6392517,461.9400024,88.5536499,461.9400024,25.02823639
572.460022,0.288401127,462.5299988,12.33300781,462.5299988,63.14824677,462.5299988,182.8760376,462.5299988,87.94100952,462.5299988,24.94804192
573.039978,0.376506001,462.980011,12.26057625,462.980011,62.69977951,462.980011,184.8137665,462.980011,87.2188797,462.980011,25.36335182
573.4699707,0.326640606,463.4299927,12.15204334,463.4299927,62.82950974,463.4299927,184.8987885,463.4299927,86.72697449,463.4299927,25.26652908
574.0499878,0.264018357,464.019989,12.19436359,464.019989,61.95217133,464.019989,184.3654785,464.019989,87.58958435,464.019989,25.0730629
574.4899902,0.27437073,464.4700012,12.15167713,464.4700012,62.72546768,464.4700012,183.3743286,464.4700012,87.58908081,464.4700012,24.77553368
575.0700073,0.232687533,465.0700073,12.4293375,465.0700073,62.88160324,465.0700073,183.2479706,465.0700073,86.98956299,465.0700073,24.64561844
575.5,0.21329324,465.519989,12.27806759,465.519989,63.75040817,465.519989,183.6403656,465.519989,87.02953339,465.519989,25.15021706
575.9400024,0.177123919,465.9700012,12.18454075,465.9700012,62.6587944,465.9700012,183.2138977,465.9700012,87.83758545,465.9700012,24.91155243
576.5200195,0.296450764,466.5599976,11.98029423,466.5599976,61.87420654,466.5599976,185.0876007,466.5599976,87.33976746,466.5599976,25.41861916
576.9500122,0.172679991,467.0100098,12.23904896,467.0100098,61.63225555,467.0100098,183.5241852,467.0100098,86.82441711,467.0100098,24.41062355
577.5300293,0.245341077,467.4599915,11.91578293,467.4599915,62.46576691,467.4599915,184.2196198,467.4599915,88.1991806,467.4599915,24.43198204
577.9699707,0.060333643,468.0499878,11.71705341,468.0499878,61.68590164,468.0499878,183.7739716,468.0499878,87.33204651,468.0499878,24.74879265
578.5499878,0.173073784,468.5,12.09948063,468.5,61.73918533,468.5,183.0770111,468.5,87.24736786,468.5,25.0416851
578.9799805,0.293412387,468.9500122,11.85872936,468.9500122,62.76132965,468.9500122,181.649292,468.9500122,86.65258789,468.9500122,24.54758835
579.5599976,0.205867216,469.5499878,11.68561459,469.5499878,61.95264435,469.5499878,182.5435791,469.5499878,86.71822357,469.5499878,24.94818115
580,0.250202656,470,12.37532997,470,62.48500061,470,182.5587158,470,86.20072937,470,24.76535225
,,,,470.4500122,61.70275879,470.4500122,179.7572174,470.4500122,86.30068207,470.4500122,24.74249268
,,,,471.0599976,62.82804871,471.0599976,181.372757,471.0599976,86.46537018,471.0599976,25.05513191
,,,,471.5100098,62.02354813,471.5100098,183.8909454,471.5100098,87.19483948,471.5100098,24.20967102
,,,,471.9599915,61.57052994,471.9599915,181.8932495,471.9599915,85.33361053,471.9599915,24.73012543
,,,,472.5700073,61.67436218,472.5700073,182.0822296,472.5700073,86.10551453,472.5700073,24.7648468
,,,,473.0299988,60.76755524,473.0299988,181.5702667,473.0299988,86.47822571,473.0299988,24.33613205
,,,,473.480011,61.1815567,473.480011,180.3323059,473.480011,86.35725403,473.480011,24.44467545
,,,,473.9299927,61.90441513,473.9299927,180.2973328,473.9299927,86.05954742,473.9299927,24.31360626
,,,,474.5400085,60.63097382,474.5400085,179.7060852,474.5400085,85.76209259,474.5400085,24.62123489
,,,,475,61.18452072,475,179.8707733,475,85.92140198,475,24.94180298
,,,,475.4500122,60.16366959,475.4500122,178.9466248,475.4500122,85.52893066,475.4500122,24.41722298
,,,,476.0599976,60.72822571,476.0599976,179.916748,476.0599976,85.33627319,476.0599976,24.74938774
,,,,476.5100098,60.77864075,476.5100098,178.2129211,476.5100098,85.47076416,476.5100098,24.50585556
,,,,476.9599915,60.56302643,476.9599915,177.9210815,476.9599915,84.50735474,476.9599915,24.59007072
,,,,477.5700073,59.96593094,477.5700073,178.2597046,477.5700073,85.26726532,477.5700073,24.64492226
,,,,478.0299988,59.59946442,478.0299988,179.621048,478.0299988,85.80454254,478.0299988,24.5504303
,,,,478.480011,60.06675339,478.480011,177.7022552,478.480011,84.63057709,478.480011,24.1632309
,,,,478.9299927,60.36203766,478.9299927,178.3407288,478.9299927,85.2894516,478.9299927,24.17281342
,,,,479.5400085,59.84942245,479.5400085,177.2593079,479.5400085,84.48335266,479.5400085,24.00072861
,,,,480,60.40961075,480,176.5044403,480,83.74866486,480,24.05418396
,,,,480.4500122,60.77510834,480.4500122,175.6223145,480.4500122,83.00479126,480.4500122,23.78209686
,,,,481.0599976,60.02036667,481.0599976,175.6016998,481.0599976,83.17649841,481.0599976,24.06891251
,,,,481.5100098,59.47554779,481.5100098,175.5346069,481.5100098,82.60022736,481.5100098,23.94523621
,,,,481.9599915,58.65733719,481.9599915,172.7490845,481.9599915,82.88987732,481.9599915,23.61063576
,,,,482.5700073,59.91750336,482.5700073,173.1073303,482.5700073,82.39641571,482.5700073,23.92863083
,,,,483.0299988,59.30493927,483.0299988,173.1684723,483.0299988,81.72886658,483.0299988,23.21252632
,,,,483.480011,60.02793121,483.480011,175.7515106,483.480011,83.50977325,483.480011,23.81290817
,,,,483.9299927,60.2549324,483.9299927,175.9138184,483.9299927,83.86522675,483.9299927,24.00653076
,,,,484.5400085,60.96982956,484.5400085,178.4115906,484.5400085,84.48953247,484.5400085,24.25158501
,,,,485,61.45492935,485,179.7114716,485,85.61253357,485,24.44924927
,,,,485.4500122,60.99471664,485.4500122,178.362793,485.4500122,85.11325836,485.4500122,24.26741791
,,,,486.0599976,59.59210968,486.0599976,176.4228516,486.0599976,84.20513153,486.0599976,23.89456558
,,,,486.5100098,59.83708572,486.5100098,177.1799774,486.5100098,83.69210052,486.5100098,23.98687363
,,,,486.9599915,60.23769379,486.9599915,177.039505,486.9599915,83.81907654,486.9599915,23.88321495
,,,,487.5700073,60.20349121,487.5700073,178.3456726,487.5700073,84.21495819,487.5700073,23.76122665
,,,,488.0299988,61.09188461,488.0299988,178.9429779,488.0299988,84.78244781,488.0299988,23.97836876
,,,,488.480011,61.52749252,488.480011,179.6467743,488.480011,85.97324371,488.480011,24.32564926
,,,,488.9299927,60.87114716,488.9299927,179.2292175,488.9299927,85.02993011,488.9299927,24.29228783
,,,,489.5400085,60.69543457,489.5400085,178.2700653,489.5400085,84.84848785,489.5400085,24.41349411
,,,,490,59.99375153,490,177.3552856,490,83.94113159,490,23.76671791
,,,,,,490.4400024,176.2084351,490.4400024,82.91919708,490.4400024,23.95268822
,,,,,,491.0400085,174.1141205,491.0400085,83.57050323,491.0400085,23.63041115
,,,,,,491.4899902,174.3182983,491.4899902,83.91618347,491.4899902,24.00209999
,,,,,,491.9400024,177.1805267,491.9400024,84.04441833,491.9400024,24.01273918
,,,,,,492.5299988,177.2841797,492.5299988,85.04151154,492.5299988,24.10560417
,,,,,,492.980011,176.5127258,492.980011,85.15713501,492.980011,24.36661911
,,,,,,493.4299927,174.690567,493.4299927,84.75589752,493.4299927,24.11609459
,,,,,,494.019989,174.1807404,494.019989,83.20759583,494.019989,24.11361504
,,,,,,494.4700012,170.6251984,494.4700012,81.11065674,494.4700012,23.38076782
,,,,,,495.0700073,169.0492096,495.0700073,80.71878815,495.0700073,23.23953438
,,,,,,495.519989,166.1449585,495.519989,80.02536011,495.519989,22.82219124
,,,,,,495.9700012,164.7039642,495.9700012,80.44178009,495.9700012,22.65244865
,,,,,,496.5599976,164.1358795,496.5599976,79.81628418,496.5599976,22.77556229
,,,,,,497.0100098,163.8333282,497.0100098,79.31308746,497.0100098,22.71771622
,,,,,,497.4599915,164.5413055,497.4599915,78.32249451,497.4599915,22.68826103
,,,,,,498.0499878,163.1037292,498.0499878,78.25566864,498.0499878,21.88718414
,,,,,,498.5,161.7241669,498.5,77.55708313,498.5,22.29189301
,,,,,,498.9500122,161.6274109,498.9500122,76.66753387,498.9500122,22.00532913
,,,,,,499.5499878,161.059494,499.5499878,77.79261017,499.5499878,22.45013428
,,,,,,500,161.4973297,500,78.0372467,500,21.49215317
,,,,,,,,500.4400024,77.22007751,500.4400024,22.3852787
,,,,,,,,501.0400085,77.33805084,501.0400085,21.94109154
,,,,,,,,501.4899902,76.60061646,501.4899902,21.7059021
,,,,,,,,501.9400024,76.39311218,501.9400024,22.30003166
,,,,,,,,502.5299988,76.43170929,502.5299988,21.74968338
,,,,,,,,502.980011,75.22953033,502.980011,21.04144096
,,,,,,,,503.4299927,75.579216,503.4299927,21.83748817
,,,,,,,,504.019989,74.75538635,504.019989,21.38907051
,,,,,,,,504.4700012,74.83652496,504.4700012,21.56723976
,,,,,,,,505.0700073,73.96908569,505.0700073,21.39053917
,,,,,,,,505.519989,72.80448151,505.519989,21.03709221
,,,,,,,,505.9700012,70.67471313,505.9700012,20.49775887
,,,,,,,,506.5599976,70.09278107,506.5599976,19.92180252
,,,,,,,,507.0100098,68.3418045,507.0100098,19.70536423
,,,,,,,,507.4599915,65.80978394,507.4599915,18.40661812
,,,,,,,,508.0499878,62.94382477,508.0499878,17.91285324
,,,,,,,,508.5,61.1194458,508.5,17.20290184
,,,,,,,,508.9500122,57.77318573,508.9500122,17.31551933
,,,,,,,,509.5499878,53.15355682,509.5499878,15.43794632
,,,,,,,,510,51.96727371,510,14.83666992
,,,,,,,,,,510.4400024,13.52436256
,,,,,,,,,,511.0400085,12.69133854
,,,,,,,,,,511.4899902,11.99146461
,,,,,,,,,,511.9400024,11.45319366
,,,,,,,,,,512.5300293,9.773908615
,,,,,,,,,,512.9799805,8.924095154
,,,,,,,,,,513.4299927,8.296994209
,,,,,,,,,,514.0200195,7.271695614
,,,,,,,,,,514.4699707,6.51786232
,,,,,,,,,,515.0700073,6.147508621
,,,,,,,,,,515.5200195,4.961766243
,,,,,,,,,,515.9699707,4.900440693
,,,,,,,,,,516.5599976,3.930735826
,,,,,,,,,,517.0100098,3.304471493
,,,,,,,,,,517.460022,3.112798691
,,,,,,,,,,518.0499878,2.425502539
,,,,,,,,,,518.5,2.384979486
,,,,,,,,,,518.9500122,2.234245539
,,,,,,,,,,519.5499878,2.149973154
,,,,,,,,,,520,1.685928345
